ID,질문 번호,질문 유형,질문 내용,응답 내용,질문 키워드,카테고리,감성,질문 카테고리
R021,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"효과 못느낌, 비삼, 효능 검증 안됐다는 소문, 동물학대 이미지, 대체 식품 많음",녹용 제품 섭취 중단 이유,가격 장벽,부정,녹용 장벽 요인
R021,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"효과 못느낌, 비삼, 효능 검증 안됐다는 소문, 동물학대 이미지, 대체 식품 많음",녹용 제품 섭취 중단 이유,동물학대,부정,녹용 장벽 요인
R021,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"효과 못느낌, 비삼, 효능 검증 안됐다는 소문, 동물학대 이미지, 대체 식품 많음",녹용 제품 섭취 중단 이유,대체식품,부정,녹용 장벽 요인
R022,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,필요성 못느낌,녹용 제품 섭취 중단 이유,필요성 부족,부정,녹용 장벽 요인
R023,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,몸에 안맞음,녹용 제품 섭취 중단 이유,체질에 안맞음,부정,녹용 장벽 요인
R024,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"맛없음, 다른 제품에 비해 우선순위 밀",녹용 제품 섭취 중단 이유,맛 없음,부정,녹용 장벽 요인
R024,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"맛없음, 다른 제품에 비해 우선순위 밀",녹용 제품 섭취 중단 이유,대체식품,부정,녹용 장벽 요인
R025,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,체질에 안맞음,녹용 제품 섭취 중단 이유,체질에 안맞음,부정,녹용 장벽 요인
R026,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"비쌈, 정보 부족",녹용 제품 섭취 중단 이유,가격 장벽,부정,녹용 장벽 요인
R026,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"비쌈, 정보 부족",녹용 제품 섭취 중단 이유,정보 부족,부정,녹용 장벽 요인
R027,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,부모님이 어릴 때 사주고 현재는 안 먹음,녹용 제품 섭취 중단 이유,필요성 부족,부정,녹용 장벽 요인
R028,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,섭취 후 체질 변함,녹용 제품 섭취 중단 이유,체질에 안맞음,부정,녹용 장벽 요인
R029,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,한의원 다닐 때 말고는 접할 기회가 없음,녹용 제품 섭취 중단 이유,구매처 부족,부정,녹용 장벽 요인
R030,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"맛 없음, 효과 없음",녹용 제품 섭취 중단 이유,맛 없음,부정,녹용 장벽 요인
R030,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"맛 없음, 효과 없음",녹용 제품 섭취 중단 이유,효능 불확실,부정,녹용 장벽 요인
R031,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,비쌈,녹용 제품 섭취 중단 이유,가격 장벽,부정,녹용 장벽 요인
R032,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,누가 줬을 때 말고는 안먹음,녹용 제품 섭취 중단 이유,필요성 부족,부정,녹용 장벽 요인
R033,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,부모님이 챙겨줄 때 말고는 굳이 내가 찾아 먹진 않음,녹용 제품 섭취 중단 이유,필요성 부족,부정,녹용 장벽 요인
R034,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,섭취 필요성을 못느낌,녹용 제품 섭취 중단 이유,필요성 부족,부정,녹용 장벽 요인
R035,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,비쌈,녹용 제품 섭취 중단 이유,가격 장벽,부정,녹용 장벽 요인
R036,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,한약으로 먹었음,녹용 제품 섭취 중단 이유,필요성 부족,부정,녹용 장벽 요인
R037,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,살찔까,녹용 제품 섭취 중단 이유,효능 불확실,부정,녹용 장벽 요인
R038,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,비릿한 맛이 남,녹용 제품 섭취 중단 이유,맛 없음,부정,녹용 장벽 요인
R039,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,진짜 힘들지 않은 이상 돈 안씀,녹용 제품 섭취 중단 이유,가격 장벽,부정,녹용 장벽 요인
R040,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"복용 방법이 불편, 맛 없음",녹용 제품 섭취 중단 이유,복용 불편,부정,녹용 장벽 요인
R040,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"복용 방법이 불편, 맛 없음",녹용 제품 섭취 중단 이유,맛 없음,부정,녹용 장벽 요인
R041,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,맛 없음,녹용 제품 섭취 중단 이유,맛 없음,부정,녹용 장벽 요인
R042,Q2,자유서술형,녹용 제품 이미지 개선 방법,어르신들에게만 좋다는 인식을 개선할 필요가 있음. MZ세대도 필요성을 느끼도록 젊은 사람에게도 녹용이 좋다는 이미지 필요,녹용 제품 이미지 개선 방법,필요성 부족,부정,녹용 장벽 요인
R043,Q2,자유서술형,녹용 제품 이미지 개선 방법,녹용이라는 소재에 MZ세대의 트렌드를 반영하여 많이 노출시키기,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R044,Q2,자유서술형,녹용 제품 이미지 개선 방법,녹용 자체가 우선 알려져야 함,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R045,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌드한 이미지를 갖춰야 함,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R046,Q2,자유서술형,녹용 제품 이미지 개선 방법,녹용의 맛에 대한 거부감을 감소시켜야 함,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R047,Q2,자유서술형,녹용 제품 이미지 개선 방법,"녹용에 대한 정보 전달, 트렌디한 포장지 필요",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R048,Q2,자유서술형,녹용 제품 이미지 개선 방법,"녹용을 익숙해지게 만들기, 효능을 명확히 알리기",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R048,Q2,자유서술형,녹용 제품 이미지 개선 방법,"녹용을 익숙해지게 만들기, 효능을 명확히 알리기",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R049,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디함을 갖추고 명환한 효능을 알리기,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R050,Q2,자유서술형,녹용 제품 이미지 개선 방법,천연 원료와 비천연 원료의 차이점 강조,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R051,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛 개선,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R052,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가성비 제품 필요, 맛 개선, 효능 알리기",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R052,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가성비 제품 필요, 맛 개선, 효능 알리기",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R052,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가성비 제품 필요, 맛 개선, 효능 알리기",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R053,Q2,자유서술형,녹용 제품 이미지 개선 방법,믿을 수 있는 가성비 좋은 품질 보장,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R053,Q2,자유서술형,녹용 제품 이미지 개선 방법,믿을 수 있는 가성비 좋은 품질 보장,녹용 제품 이미지 개선 방법,품질 보장,긍정,녹용 장벽 요인
R054,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가성비 좋아야 함, 일반 영양제보다 메리트가 있다는 점을 어필",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R054,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가성비 좋아야 함, 일반 영양제보다 메리트가 있다는 점을 어필",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R055,Q2,자유서술형,녹용 제품 이미지 개선 방법,"이미지 개선, 가격 조정",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R056,Q2,자유서술형,녹용 제품 이미지 개선 방법,"이미지 개선, 효능/효과 알리기",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R057,Q2,자유서술형,녹용 제품 이미지 개선 방법,"부담없는 가격 필요, 간편한 제형으로 편하게 섭취할 수 있다는 이미지 개선",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R057,Q2,자유서술형,녹용 제품 이미지 개선 방법,"부담없는 가격 필요, 간편한 제형으로 편하게 섭취할 수 있다는 이미지 개선",녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R058,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능/효과 알리기, 녹용을 왜 꼭 섭취해야 하는지에 대한 설득력 필요",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R058,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능/효과 알리기, 녹용을 왜 꼭 섭취해야 하는지에 대한 설득력 필요",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R059,Q2,자유서술형,녹용 제품 이미지 개선 방법,"친숙한 이미지, 잦은 노출",녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R060,Q2,자유서술형,녹용 제품 이미지 개선 방법,간편한 복용,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R061,Q2,자유서술형,녹용 제품 이미지 개선 방법,"부담없는 맛, 이벤트, 가성비 가격",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R061,Q2,자유서술형,녹용 제품 이미지 개선 방법,"부담없는 맛, 이벤트, 가성비 가격",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R062,Q2,자유서술형,녹용 제품 이미지 개선 방법,녹용에 대한 인식 개선,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R063,Q2,자유서술형,녹용 제품 이미지 개선 방법,올드한 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R064,Q2,자유서술형,녹용 제품 이미지 개선 방법,쉽게 구매할 수 있는 편리성,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R065,Q2,자유서술형,녹용 제품 이미지 개선 방법,"맛 개선, 효능 알리기",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R065,Q2,자유서술형,녹용 제품 이미지 개선 방법,"맛 개선, 효능 알리기",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R066,Q2,자유서술형,녹용 제품 이미지 개선 방법,이미지 개선,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R067,Q2,자유서술형,녹용 제품 이미지 개선 방법,상품에 대한 설명,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R068,Q2,자유서술형,녹용 제품 이미지 개선 방법,녹용이 마냥 비싸기만 한게 아니다라는 인식 개선 필요,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R069,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디한 패키지 디자인,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R070,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능/효과 홍보, 가격 인하",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R070,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능/효과 홍보, 가격 인하",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R071,Q2,자유서술형,녹용 제품 이미지 개선 방법,녹용에 대한 설명 필요,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R072,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능/효과 홍보, 부작용에 대한 설명, 진입장벽이 낮은 제품 우선 홍보",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R072,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능/효과 홍보, 부작용에 대한 설명, 진입장벽이 낮은 제품 우선 홍보",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R073,Q2,자유서술형,녹용 제품 이미지 개선 방법,"접근성, 홍보",녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R074,Q2,자유서술형,녹용 제품 이미지 개선 방법,홍보,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R075,Q2,자유서술형,녹용 제품 이미지 개선 방법,친숙함,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R076,Q2,자유서술형,녹용 제품 이미지 개선 방법,MZ세대들의 실제 후기,녹용 제품 이미지 개선 방법,실제 후기,긍정,녹용 장벽 요인
R077,Q2,자유서술형,녹용 제품 이미지 개선 방법,홍보,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R078,Q2,자유서술형,녹용 제품 이미지 개선 방법,"정보전달 더 필요, 저렴한 가격대의 제품이나 적은 양의 패키지",녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R078,Q2,자유서술형,녹용 제품 이미지 개선 방법,"정보전달 더 필요, 저렴한 가격대의 제품이나 적은 양의 패키지",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R079,Q2,자유서술형,녹용 제품 이미지 개선 방법,친숙함을 위한 홍보,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R080,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디한 방식의 홍보,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R081,Q2,자유서술형,녹용 제품 이미지 개선 방법,어르신 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R082,Q2,자유서술형,녹용 제품 이미지 개선 방법,가격 인하와 접근 편의성,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R082,Q2,자유서술형,녹용 제품 이미지 개선 방법,가격 인하와 접근 편의성,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R083,Q2,자유서술형,녹용 제품 이미지 개선 방법,어르신이 먹는다는 인식 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R084,Q2,자유서술형,녹용 제품 이미지 개선 방법,투명한 성분공개,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R085,Q2,자유서술형,녹용 제품 이미지 개선 방법,잦은 노출,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R086,Q2,자유서술형,녹용 제품 이미지 개선 방법,가성비를 통한 접근성 높이기,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R087,Q2,자유서술형,녹용 제품 이미지 개선 방법,체험형 활동,녹용 제품 이미지 개선 방법,기타,중립,녹용 장벽 요인
R088,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디한 패키징과 디자인,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R089,Q2,자유서술형,녹용 제품 이미지 개선 방법,광고같지 않은 광고,녹용 제품 이미지 개선 방법,트렌디함,중립,녹용 장벽 요인
R090,Q2,자유서술형,녹용 제품 이미지 개선 방법,접근성,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R091,Q2,자유서술형,녹용 제품 이미지 개선 방법,"심리적 거리 좁히기, 스토리텔링을 넣은 브랜딩",녹용 제품 이미지 개선 방법,기타,중립,녹용 장벽 요인
R092,Q2,자유서술형,녹용 제품 이미지 개선 방법,한약 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R093,Q2,자유서술형,녹용 제품 이미지 개선 방법,"무겁고 비싼 이미지를 탈피해, 친근한 이미지로 개선",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R093,Q2,자유서술형,녹용 제품 이미지 개선 방법,"무겁고 비싼 이미지를 탈피해, 친근한 이미지로 개선",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R094,Q2,자유서술형,녹용 제품 이미지 개선 방법,"친숙한 이미지, 접근성",녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R095,Q2,자유서술형,녹용 제품 이미지 개선 방법,홍보,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R096,Q2,자유서술형,녹용 제품 이미지 개선 방법,"간편한 스틱형 제품, 보양식의 이미지에 벗어나 확실한 성분과 효과를 표시",녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R096,Q2,자유서술형,녹용 제품 이미지 개선 방법,"간편한 스틱형 제품, 보양식의 이미지에 벗어나 확실한 성분과 효과를 표시",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R096,Q2,자유서술형,녹용 제품 이미지 개선 방법,"간편한 스틱형 제품, 보양식의 이미지에 벗어나 확실한 성분과 효과를 표시",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R097,Q2,자유서술형,녹용 제품 이미지 개선 방법,접근성,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R098,Q2,자유서술형,녹용 제품 이미지 개선 방법,기존의 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R099,Q2,자유서술형,녹용 제품 이미지 개선 방법,"고연령층이 먹는 이미지 탈피, 트렌디한 기획",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R100,Q2,자유서술형,녹용 제품 이미지 개선 방법,알기 쉬운 정보 접근성,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R101,Q2,자유서술형,녹용 제품 이미지 개선 방법,가격대 인하,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R102,Q2,자유서술형,녹용 제품 이미지 개선 방법,"이미지 개선, 합리적인 가격",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R103,Q2,자유서술형,녹용 제품 이미지 개선 방법,인식 개선,녹용 제품 이미지 개선 방법,기타,중립,녹용 장벽 요인
R104,Q2,자유서술형,녹용 제품 이미지 개선 방법,가격 인하,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R105,Q2,자유서술형,녹용 제품 이미지 개선 방법,효능감,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R106,Q2,자유서술형,녹용 제품 이미지 개선 방법,비윤리적이라는 인식 개선,녹용 제품 이미지 개선 방법,동물학대,부정,녹용 장벽 요인
R107,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛에 대한 거부감 줄이기,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R108,Q2,자유서술형,녹용 제품 이미지 개선 방법,비싸고 귀한 한약재라는 희귀성은 유지하면서 MZ 세대에게 왜 필요한지에 대한 설득력 중요. ,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R109,Q2,자유서술형,녹용 제품 이미지 개선 방법,익숙한 제형으로 가공,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R110,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능 알리기, 쉬운 접근성",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R110,Q2,자유서술형,녹용 제품 이미지 개선 방법,"효능 알리기, 쉬운 접근성",녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R111,Q2,자유서술형,녹용 제품 이미지 개선 방법,"맛 개선, 간편한 제형, 홍보",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R111,Q2,자유서술형,녹용 제품 이미지 개선 방법,"맛 개선, 간편한 제형, 홍보",녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R112,Q2,자유서술형,녹용 제품 이미지 개선 방법,효능 홍보,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R113,Q2,자유서술형,녹용 제품 이미지 개선 방법,"간편한 제형, 트렌디한 홍보",녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R113,Q2,자유서술형,녹용 제품 이미지 개선 방법,"간편한 제형, 트렌디한 홍보",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R114,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가격 인하, 맛 개선, 효능 홍보",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R114,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가격 인하, 맛 개선, 효능 홍보",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R114,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가격 인하, 맛 개선, 효능 홍보",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R115,Q2,자유서술형,녹용 제품 이미지 개선 방법,주변 MZ들의 후기,녹용 제품 이미지 개선 방법,실제 후기,긍정,녹용 장벽 요인
R116,Q2,자유서술형,녹용 제품 이미지 개선 방법,"적정한 가격, 맛 개선",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R116,Q2,자유서술형,녹용 제품 이미지 개선 방법,"적정한 가격, 맛 개선",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R117,Q2,자유서술형,녹용 제품 이미지 개선 방법,이름부터 부담스러움,녹용 제품 이미지 개선 방법,기타,부정,녹용 장벽 요인
R118,Q2,자유서술형,녹용 제품 이미지 개선 방법,반복적인 노출을 통한 친숙한 이미,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R119,Q2,자유서술형,녹용 제품 이미지 개선 방법,"부담없는 가격, 어르신 이미지 타파",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R119,Q2,자유서술형,녹용 제품 이미지 개선 방법,"부담없는 가격, 어르신 이미지 타파",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R120,Q2,자유서술형,녹용 제품 이미지 개선 방법,마케팅,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R121,Q2,자유서술형,녹용 제품 이미지 개선 방법,접근,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R122,Q2,자유서술형,녹용 제품 이미지 개선 방법,덜 부담스러운 맛,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R123,Q2,자유서술형,녹용 제품 이미지 개선 방법,MZ들도 섭취한다는 이미지 개선,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R124,Q2,자유서술형,녹용 제품 이미지 개선 방법,인스타 바이럴,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R125,Q2,자유서술형,녹용 제품 이미지 개선 방법,어르신용 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R126,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌드,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R127,Q2,자유서술형,녹용 제품 이미지 개선 방법,간편한 제형,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
